Wendy	 | 	0.6612	 | 	0.6702	 | 	0.611	 | 	0.1006	 | 	0.0996
Jimmy	 | 	0.5952	 | 	0.6588	 | 	0.5786	 | 	0.0888	 | 	0.0974
Kenny	 | 	0.5626	 | 	0.6354	 | 	0.537	 | 	0.1024	 | 	0.1114
Kyle	 | 	0.5622	 | 	0.6142	 | 	0.5252	 | 	0.086	 | 	0.1046
Mackey	 | 	0.5588	 | 	0.6132	 | 	0.5202	 | 	0.0784	 | 	0.1068
Stan	 | 	0.6164	 | 	0.667	 | 	0.546	 | 	0.0956	 | 	0.0976
Butters	 | 	0.6274	 | 	0.6828	 | 	0.5984	 | 	0.1034	 | 	0.0964
Garrison	 | 	0.6532	 | 	0.6666	 | 	0.6344	 | 	0.109	 | 	0.111
Cartman	 | 	0.6652	 | 	0.6782	 | 	0.5992	 | 	0.117	 | 	0.1068
