Stan	 | 	0.217	 | 	0.2579	 | 	0.2205	 | 	0.0128	 | 	0.047
Wendy	 | 	0.2606	 | 	0.2777	 | 	0.2133	 | 	0.007	 | 	0.0372
Jimmy	 | 	0.3166	 | 	0.2868	 | 	0.2829	 | 	0.0274	 | 	0.0408
Kenny	 | 	0.225	 | 	0.144	 | 	0.0884	 | 	0.0303	 | 	0.0262
Mackey	 | 	0.217	 | 	0.5009	 | 	0.2726	 | 	0.0145	 | 	0.0443
Kyle	 | 	0.2155	 | 	0.2407	 | 	0.2033	 | 	0.0123	 | 	0.0462
Garrison	 | 	0.2831	 | 	0.2972	 | 	0.2743	 | 	0.0203	 | 	0.0448
Butters	 | 	0.3592	 | 	0.3182	 | 	0.2029	 | 	0.0335	 | 	0.0359
Cartman	 | 	0.3027	 | 	0.2568	 | 	0.2314	 | 	0.0281	 | 	0.0414
