Kyle	 | 	0.2681	 | 	0.5281	 | 	0.0461	 | 	0.0959	 | 	0.0781	 | 	0.1954	 | 	0.2032	 | 	0.0123	 | 	0.0453
Butters	 | 	0.2055	 | 	0.7936	 | 	0.0449	 | 	0.0976	 | 	0.2896	 | 	0.2182	 | 	0.2018	 | 	0.0334	 | 	0.0347
Cartman	 | 	0.203	 | 	0.5048	 | 	0.0408	 | 	0.1017	 | 	0.2026	 | 	0.1897	 | 	0.2309	 | 	0.028	 | 	0.0407
Garrison	 | 	0.2184	 | 	0.9867	 | 	0.0383	 | 	0.1381	 | 	0.1712	 | 	0.2196	 | 	0.2743	 | 	0.0203	 | 	0.0439
Wendy	 | 	0.2054	 | 	1.211	 | 	0.0362	 | 	0.0966	 | 	0.162	 | 	0.2254	 | 	0.2133	 | 	0.007	 | 	0.0372
Stan	 | 	0.2677	 | 	0.503	 | 	0.0529	 | 	0.1037	 | 	0.0476	 | 	0.2011	 | 	0.2201	 | 	0.0128	 | 	0.0462
Kenny	 | 	0.1885	 | 	0.8401	 | 	0.1047	 | 	0.0908	 | 	0.1899	 | 	0.1195	 | 	0.0884	 | 	0.0303	 | 	0.0254
Mackey	 | 	0.3552	 | 	1.2062	 | 	0.0335	 | 	0.129	 | 	0.124	 | 	0.3156	 | 	0.2726	 | 	0.0145	 | 	0.0436
Jimmy	 | 	0.1931	 | 	1.3098	 | 	0.0453	 | 	0.0805	 | 	0.2119	 | 	0.2174	 | 	0.2823	 | 	0.0274	 | 	0.0407
